City,Week of datebegin,Year of datebegin,Avg. AirQualityLevel
Dordrecht,12 February 2018,2018,30.5
Dordrecht,19 February 2018,2018,26.3
Dordrecht,26 February 2018,2018,19.7
Dordrecht,5 March 2018,2018,28.0
Dordrecht,12 March 2018,2018,19.7
Dordrecht,19 March 2018,2018,24.1
Dordrecht,26 March 2018,2018,24.6
Dordrecht,2 April 2018,2018,19.4
Dordrecht,9 April 2018,2018,23.6
Dordrecht,16 April 2018,2018,25.7
Dordrecht,23 April 2018,2018,14.4
Dordrecht,30 April 2018,2018,16.5
Dordrecht,7 May 2018,2018,20.9
Dordrecht,14 May 2018,2018,13.7
Dordrecht,21 May 2018,2018,16.8
Dordrecht,28 May 2018,2018,18.9
Dordrecht,4 June 2018,2018,14.0
Dordrecht,11 February 2019,2019,42.5
Dordrecht,18 February 2019,2019,33.9
Dordrecht,25 February 2019,2019,36.1
Dordrecht,4 March 2019,2019,12.4
Dordrecht,11 March 2019,2019,15.2
Dordrecht,18 March 2019,2019,29.1
Dordrecht,25 March 2019,2019,28.2
Dordrecht,1 April 2019,2019,18.1
Dordrecht,8 April 2019,2019,18.1
Dordrecht,15 April 2019,2019,18.8
Dordrecht,22 April 2019,2019,12.0
Dordrecht,29 April 2019,2019,15.7
Dordrecht,6 May 2019,2019,16.5
Dordrecht,13 May 2019,2019,14.0
Dordrecht,20 May 2019,2019,14.9
Dordrecht,27 May 2019,2019,12.7
Dordrecht,3 June 2019,2019,11.9
Dordrecht,10 February 2020,2020,13.0
Dordrecht,17 February 2020,2020,11.6
Dordrecht,24 February 2020,2020,16.9
Dordrecht,2 March 2020,2020,19.3
Dordrecht,9 March 2020,2020,12.5
Dordrecht,16 March 2020,2020,20.5
Dordrecht,23 March 2020,2020,13.7
Dordrecht,30 March 2020,2020,19.5
Dordrecht,6 April 2020,2020,20.3
Dordrecht,13 April 2020,2020,14.7
Dordrecht,20 April 2020,2020,13.0
Dordrecht,27 April 2020,2020,13.4
Dordrecht,4 May 2020,2020,13.8
Dordrecht,11 May 2020,2020,14.6
Dordrecht,18 May 2020,2020,15.3
